start_time,exit_status,mean_qscore_template,sequence_length_template,mean_qscore_complement,sequence_length_complement,mean_qscore_2d,sequence_length_2d,run_id
251.120,S_NO2D,,,,,,,f9af78a208e192d69dba03a4542d58a9605309fc
259.607,S_NO2D,,,,,,,f9af78a208e192d69dba03a4542d58a9605309fc
29.525,2D basecall failed quality filters,,,,,8.106,643,f9af78a208e192d69dba03a4542d58a9605309fc
78.623,S_OK,,,,,9.507,590,f9af78a208e192d69dba03a4542d58a9605309fc
233.363,S_NO2D,,,,,,,f9af78a208e192d69dba03a4542d58a9605309fc
138.633,S_OK,,,,,14.202,829,f9af78a208e192d69dba03a4542d58a9605309fc
220.544,2D basecall failed quality filters,,,,,8.296,454,f9af78a208e192d69dba03a4542d58a9605309fc
248.101,S_OK,,,,,13.539,2835,dee06345d2f99f17ce01306bad92c65d38381a26
157.018,S_OK,,,,,13.889,2037,dee06345d2f99f17ce01306bad92c65d38381a26
232.648,S_NO2D,,,,,,,f9af78a208e192d69dba03a4542d58a9605309fc
206.889,S_OK,,,,,11.203,780,f9af78a208e192d69dba03a4542d58a9605309fc
228.464,S_NO2D,,,,,,,f9af78a208e192d69dba03a4542d58a9605309fc
53.609,S_NO2D,,,,,,,f9af78a208e192d69dba03a4542d58a9605309fc
30.256,S_OK,,,,,13.092,1223,f9af78a208e192d69dba03a4542d58a9605309fc
221.210,2D basecall failed quality filters,,,,,7.393,124,f9af78a208e192d69dba03a4542d58a9605309fc
54.147,S_OK,,,,,13.363,737,f9af78a208e192d69dba03a4542d58a9605309fc
107.147,S_OK,,,,,11.860,770,f9af78a208e192d69dba03a4542d58a9605309fc
69.193,S_OK,,,,,11.541,1599,f9af78a208e192d69dba03a4542d58a9605309fc
266.370,S_OK,,,,,10.104,677,f9af78a208e192d69dba03a4542d58a9605309fc
69.120,S_OK,,,,,11.889,765,f9af78a208e192d69dba03a4542d58a9605309fc
163.300,S_OK,,,,,11.082,759,f9af78a208e192d69dba03a4542d58a9605309fc
271.509,2D basecall failed quality filters,,,,,8.982,783,f9af78a208e192d69dba03a4542d58a9605309fc
238.324,S_NO2D,,,,,,,f9af78a208e192d69dba03a4542d58a9605309fc
101.192,S_OK,,,,,11.292,7273,f9af78a208e192d69dba03a4542d58a9605309fc
260.235,S_OK,,,,,9.182,2692,f9af78a208e192d69dba03a4542d58a9605309fc
